Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,run_number
0,3.0,0.0006794310000000081,"[0, 1, 1, 0, 1]",False,3000,0.2,8192,0
1,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
2,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
4,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
8,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
16,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
32,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
64,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
128,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
256,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
512,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
1024,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
2048,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
4096,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
8192,4.0,0.020609614999999692,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,3000,0.2,8192,0
