,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,21.0,0.00011574899999899912,"[2, 0, 1, 3, 0]",1,8192,0
1,1,21.0,0.0004902509999986648,"[2, 0, 1, 3, 0]",1,8192,0
2,2,21.0,0.005369481999998982,"[2, 0, 1, 3, 0]",1,8192,0
3,4,51.0,0.010619469000001658,"[2, 3, 1, 3, 0]",1,8192,0
4,8,57.0,0.015752209999998712,"[3, 3, 1, 3, 2]",1,8192,0
5,16,75.0,0.021618679999999557,"[4, 3, 3, 3, 2]",1,8192,0
6,32,85.0,0.028879306000000327,"[4, 4, 3, 3, 2]",1,8192,0
7,64,85.0,0.03665816000000177,"[4, 4, 3, 3, 2]",1,8192,0
8,128,85.0,0.048546142999999375,"[4, 4, 3, 3, 2]",1,8192,0
9,256,85.0,0.06833472099999938,"[4, 4, 3, 3, 2]",1,8192,0
10,512,85.0,0.1078762210000015,"[4, 4, 3, 3, 2]",1,8192,0
11,1024,85.0,0.1940193679999993,"[4, 4, 3, 3, 2]",1,8192,0
12,2048,85.0,0.42429434599999993,"[4, 4, 3, 3, 2]",1,8192,0
13,4096,85.0,1.0918435039999999,"[4, 4, 3, 3, 2]",1,8192,0
14,8192,85.0,1.5676935990000018,"[4, 4, 3, 3, 2]",1,8192,0
15,0,52.0,1.635735265000001,"[1, 4, 0, 2, 4]",1,8192,1
16,1,59.0,1.6363764260000018,"[1, 4, 1, 2, 4]",1,8192,1
17,2,80.0,1.699155201,"[1, 4, 4, 2, 4]",1,8192,1
18,4,80.0,1.7611658030000008,"[1, 4, 4, 2, 4]",1,8192,1
19,8,80.0,1.8181075600000014,"[1, 4, 4, 2, 4]",1,8192,1
20,16,82.0,1.880755108999999,"[1, 4, 4, 3, 4]",1,8192,1
21,32,82.0,1.9672271300000013,"[1, 4, 4, 3, 4]",1,8192,1
22,64,82.0,2.0455307739999995,"[1, 4, 4, 3, 4]",1,8192,1
23,128,82.0,2.1526119930000007,"[1, 4, 4, 3, 4]",1,8192,1
24,256,82.0,2.293862735000001,"[1, 4, 4, 3, 4]",1,8192,1
25,512,82.0,2.5122755109999986,"[1, 4, 4, 3, 4]",1,8192,1
26,1024,82.0,2.9070934490000013,"[1, 4, 4, 3, 4]",1,8192,1
27,2048,82.0,3.6123593539999987,"[1, 4, 4, 3, 4]",1,8192,1
28,4096,82.0,5.041368207000001,"[1, 4, 4, 3, 4]",1,8192,1
29,8192,82.0,5.776672264999998,"[1, 4, 4, 3, 4]",1,8192,1
