n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
2,0.09448262387323304,0.016021890545611202,0.06223640794108544,0.024061918258666992
3,0.07124143536430119,0.06022073705660893,0.06359537836803517,0.021507978439331055
4,0.07431012519715402,0.07517695247095628,0.07557501467573917,0.0472719669342041
5,0.07261917108183864,0.08812793261550579,0.08170539159896545,0.054839134216308594
6,0.07947639124187661,0.04256018657095467,0.09830539362532674,0.06616330146789551
7,0.0826734817206636,0.045561039703132224,0.1075489231622441,0.09852790832519531
8,0.0817692005126065,0.048152225064540054,0.11096286644398104,0.11270999908447266
9,0.08194430453547663,0.0325888920331521,0.11632893295024326,0.12020111083984375
10,0.07971762320676933,0.03155108250041405,0.11679592198199293,0.1262819766998291
12,0.07786048705854055,0.033289280385472804,0.12021316132383644,0.15706324577331543
14,0.0748971437514355,0.026244667983956537,0.12186499612259749,0.18229198455810547
16,0.07453199330472815,0.02290159508928841,0.12581069758220847,0.19698429107666016
32,0.07834805001614378,0.017281257316222463,0.15789078867337197,0.4075889587402344
64,0.07926776666371645,0.010970150755365872,0.18591354976559785,0.606795072555542
