algname,Iteration,max|V-Vprev|,# chg actions,V[0],clock_time
value-iteration,0,0.3333333333333333,N/A,0.0,0.0005209445953369141
value-iteration,1,0.10555555555555557,2,0.0,0.0004978179931640625
value-iteration,2,0.06685185185185183,3,0.0,0.0005118846893310547
value-iteration,3,0.05292438271604935,3,0.0,0.0004940032958984375
value-iteration,4,0.040222530864197525,4,0.0,0.0005140304565429688
value-iteration,5,0.03184283693415635,6,0.0,0.0005168914794921875
value-iteration,6,0.025545031407178787,5,0.0,0.000514984130859375
value-iteration,7,0.020968213280059322,8,0.0,0.0005137920379638672
value-iteration,8,0.01813342437806817,5,0.0,0.0005121231079101562
value-iteration,9,0.015924607009587255,6,0.0,0.0004971027374267578
value-iteration,10,0.014121170170185993,9,0.0,0.0005121231079101562
value-iteration,11,0.012496796215233585,8,0.0,0.0004937648773193359
value-iteration,12,0.01114665131409931,8,0.0,0.0005052089691162109
value-iteration,13,0.009972510035520132,4,1.1483997264232105e-05,0.0005140304565429688
value-iteration,14,0.00907400673644257,0,3.632842685970246e-05,0.0005099773406982422
value-iteration,15,0.008328935735318288,0,9.698599409183535e-05,0.0005099773406982422
value-iteration,16,0.0075841875407882675,0,0.00019701142740975792,0.0005450248718261719
value-iteration,17,0.00695385342013452,0,0.0003626291842575728,0.0006699562072753906
value-iteration,18,0.006467085906087633,2,0.0005959964449113799,0.0005228519439697266
value-iteration,19,0.00600579364438783,1,0.0009276113753961045,0.0005018711090087891
